random=RANDOM;all=1;keep_all=1;depth=1;url=https://events.ccc.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://reichsgesetzblatt.justitia-deutschland.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://radio.indymedia.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://allatra.tv/new
random=RANDOM;all=1;keep_all=1;depth=1;url=https://autonome-antifa.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.reichsamt.info/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://aktion-widerstand.de/meldungen/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://allatra.tv/en/new
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://freie-sachsen.info/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.volks-buero.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.nius.de/all-news
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.eurozine.com/essays/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.german-foreign-policy.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://aspeninstitutekyiv.org/en/news/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.bundesrath.de/blog/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://aspeninstitutekyiv.org/news/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://alabuga.ru/news/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://peter-nowak-journalist.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.reichsamt-des-innern.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.patriotpetition.org/petitionen/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://martinsellner.info/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://nantes.indymedia.org/zines/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.volks-reichstag.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.oldenburg-tourismus.de/veranstaltungen/kalender
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.tillynorwood.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://daily.bandcamp.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://termine.kdo.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://blog.deutsches-museum.de/
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://signal.org/blog/rss.xml
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://www.sat1regional.de/feed/
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://frank.geekheim.de/?feed=rss2
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://tante.cc/feed/
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://okfn.de/en/blog/rss.xml
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://blog.duolingo.com/rss/
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://maggieappleton.com/rss.xml
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://disconnect.blog/rss/
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://macumbista.net/?feed=atom
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://journalistenwatch.com/feed/
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://positionspolitics.org/feed/
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://www.prototypefund.de/feed.rss
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://www.pzwart.nl/feed/
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://ag.kritis.info/feed/
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://www.hardkernel.com/feed/
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://kubernetes.io/feed.xml
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://blog.deutsches-museum.de/blog.recent.xml
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://computer.rip/rss.xml
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://okfn.de/blog/rss.xml
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://neovim.io/news.xml
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://idlewords.com/index.xml
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://pi-news.net/feed/
random=RANDOM;all=1;keep_all=1;depth=1;deep_extract=1;url=https://www.collabora.com/newsroom-rss-feed.rss
