#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://acpcongo.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://realpolitik.com.ar/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://angolamarket.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://online-casinos.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://iluvcinema.in/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://malaysiandigest.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://trincheraonline.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://westernslopenow.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://620ckrm.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://orleansonline.ca/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://sz-online.de/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://earthwindandstyle.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://gbooza.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://pacifictakes.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://tv.hnonline.sk/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://investbg.government.bg/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://rugrad.eu/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://kibaaro.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://moco-choco.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://winfuture.de/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://khaberni.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://theaquilareport.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://wisc.edu/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://baltische-rundschau.eu/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://demainlenouveaucongobrazzaville.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://islamsyria.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://beatsandbeyond.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://akhbrcairo.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://nationswell.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://finance.tut.by/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://newnevvs.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://echospb.ru/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://mizonews.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://vivimoslanoticia.cl/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://durantdemocrat.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://firstmotherforum.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://thegavoice.com/
