#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://ellenvillejournal.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://newswire.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://durantdemocrat.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://gothamgazette.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://northwestgeorgianews.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://hudsonreporter.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://kpth.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://godanriver.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://wmcstations.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://niagara-gazette.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://thechronicle-news.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://fox11la.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://sheboyganpress.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://wsaz.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://southtownswny.presspublisher.us/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://redstate.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://hesperiastar.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://thecherokeean.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://gonzalesinquirer.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://navytimes.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://haddonfieldsun.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://wilsontimes.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://santansun.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://eltiempo.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://miamiherald.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://cheddar.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://thebisbeeobserver.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://paulsvalleydailydemocrat.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://roslyn-news.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://minicassia.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://lehighvalleylive.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://wellingtondailynews.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://cumberlink.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://theleaderonline.net/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://kait8.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://guymondailyherald.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://chronicleonline.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://eaglelakeheadlight.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://sfexaminer.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://lafayettecountypress.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://cobbonline.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://klax-tv.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://wfxg.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://johnstoniannews.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://bulletin-news.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://scdemocratonline.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://abc7news.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://heraldcourier.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://marshallindependent.com/
