#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.tuftsdaily.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.lapresse.tn/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.brethren.org/news/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://noror.org/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.karkkilantienoo.fi/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://xtra.ca/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://napavalleyregister.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://dsb.dahuawang.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.diariodesevilla.es/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://quotidiani.gelocal.it/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.tywbw.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.pima.edu/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.elcolombiano.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://paperspast.natlib.govt.nz/newspapers/bay-of-plenty-times
random=RANDOM;all=1;keep_all=1;depth=1;url=http://epaper.phulchhab.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://thebluebanner.net/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://thegavoice.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.objectivejournalism.org/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://expressodasilhas.cv/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.mirror.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://dcenquirer.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://pages.rts.ch/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://haiastan.fr/
#REASON=WAYBACK#random=RANDOM;all=1;keep_all=1;depth=1;url=https://web.archive.org/web/*/http://www.lest-eclair.fr
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.lemoniteur.fr/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://waateanews.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.agniban.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://northwestgeorgianews.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://euroradio.fm/en
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.readingchronicle.co.uk/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.rijeka.hr/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://antigo.joaopessoa.pb.gov.br/semanariooficial/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.karar.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.armandaily.ir/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://otechestvo.biz/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.northshropshirechronicle.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.eenews.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://spectatorindex.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.tracypress.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://earther.gizmodo.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://acento.com.do/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.macunaima.com.br/blog/caderno-de-registro-macu/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://prefeitura.cachoeiro.es.gov.br/servicos/site.php?nomePagina=DIARIO
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.annaharkw.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.ffwdweekly.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://pidgin.prime9ja.com.ng/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.americanwineryguide.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://mutationsbf.net/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.tronderbladet.no/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://eleconomista.com.ar/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.thailand-business-news.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.dbalears.cat/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.theguardian.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://газетапарма.рф/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://stratics.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://paper.people.com.cn/gjjrb/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.cairn.info/revue-commentaire.htm
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://xn--b1akda1aagn5c3eg.xn--p1ai/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.matichon.co.th/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.diariomunicipal.com.br/famurs/pesquisar
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.assabeel.net/
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.groupenicolas.lu/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://fashionunited.fr/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.kedglobal.com/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.republika.co.id/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://bcc.lib.hkbu.edu.hk/artcollection/the-graphic-23/
#REASON=DUPLICATE#random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.al.com/
random=RANDOM;all=1;keep_all=1;depth=1;url=https://www.eurekalert.org/language/japanese/home
random=RANDOM;all=1;keep_all=1;depth=1;url=http://www.hjemmet.dk/
